© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
ERK/MAPK Signaling	8.87E00	1.23E-01	-2.837	ATF4,BRAF,CRKL,ELK3,FYN,H3-3A,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,PLA2G12A,PPM1L,PPP1R14A,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC,TLN1,TLN2,YWHAH	
Gap Junction Signaling	8.78E00	1.01E-01	-1.976	ACTB,ACTG1,ADCY3,ATF4,CALM3,CASP3,CTTN,DBN1,EGF,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAP3K5,MAPK1,OXTR,P2RY1,PIK3CB,PLA2G12A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SMAD2,SRC,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1	
Regulation of Cellular Mechanics by Calpain Protease	8.73E00	1.91E-01	-2.828	ACTN1,CAPN1,CAPN2,CAPNS1,CCND3,EGF,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,SRC,TLN1,TLN2,VCL	
Ephrin A Signaling	8.61E00	1.5E-01	0.218	ADAM10,APP,BMP6,BRAF,EGF,FGF2,FYN,GMPR,ILK,MAPK1,MYL9,NCK2,PIK3CB,PRKAR1B,PRKAR2B,RAF1,ROCK2,SRC,TGFB1,VAV3,YES1	
AMPK Signaling	8.51E00	1.15E-01	-1.807	ACTB,AK2,ATF4,CDKN1A,CHRNA2,CPT1A,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,IRS1,MAPK1,ORAI1,ORAI2,PFKP,PIK3CB,PPM1A,PPM1K,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,RAB8A,STIM1	
Syndecan interactions	8.38E00	3.7E-01	-3.162	ACTN1,FGF2,ITGA2,ITGA6,ITGB1,ITGB3,ITGB5,PRKCA,TGFB1,THBS1	
Eicosanoid Signaling	8.29E00	1.06E-01	-5.292	ABCC4,ADCY3,ALOX12,ARRB1,ATF4,ATP2A2,ATP2A3,BRAF,GNAO1,GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITGB1,MAPK1,MAPKAPK2,PIK3CB,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,PTGS1,RAF1,SRC,TBXA2R,TBXAS1	
Docosahexaenoic Acid (DHA) Signaling	8.24E00	1.12E-01	-4.041	ADAM10,ADCY3,APP,ATF4,BMP6,BRAF,CASP3,EGF,FGF2,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PLA2G12A,PRDX6,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,STX1A,TGFB1	
RHOGDI Signaling	8.22E00	1.18E-01	3.873	ACTB,ACTG1,ARHGAP5,ARHGDIA,ARHGEF12,ARPC1B,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MYH9,MYL9,PI4KA,PIP5K1C,PRKCA,RHOBTB1,ROCK2,SRC	
Beta-catenin independent WNT signaling	8.21E00	1.22E-01	-4.000	AGO2,AP2M1,GNAO1,GNB5,ITPR1,ITPR2,NEK4,NLK,PI4KA,PIK3CB,PRKCA,PRKCB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SPHK1,STK24,STK38,STK4,STK40	
