© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Molecular Mechanisms of Cancer	6.03E00	6.27E-02	-5.632	ADCY3,ADGRE1,ARHGEF12,BMP6,BRAF,CASP3,CCND3,CCR4,CDKN1A,CDKN2D,EGF,F2R,F2RL3,FGF2,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GSK3B,GUCY1A1,GUCY1B1,HDAC5,HIPK2,IRS1,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,JAK1,LPAR5,MAP3K5,MAPK1,MAX,OXTR,P2RY1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,RHOBTB1,SMAD2,SRC,TAB2,TBXA2R,TGFB1	
Nitric Oxide Signaling in the Cardiovascular System	6.01E00	1.33E-01	-1.291	ATP2A2,ATP2A3,CALM3,GUCY1A1,GUCY1B1,HSP90B1,ITPR1,ITPR2,MAPK1,PDE2A,PDE5A,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
CDK5 Signaling	6E00	1.42E-01	-2.121	ADCY3,CAPN1,GNAS,GUCY1A1,GUCY1B1,ITGA2,ITGA6,ITGB1,MAPK1,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,RAF1	
Acetylcholine Receptor Signaling Pathway	5.98E00	1.06E-01	-3.441	ADAM10,ADAM9,ADCY3,ATF4,CALM3,CASP2,CASP3,CHRNA2,FYN,GNAO1,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
PPARα/RXRα Activation	5.98E00	1.06E-01	0.000	ADCY3,CD36,GNAQ,GNAS,GPD2,GUCY1A1,GUCY1B1,HSP90B1,IRS1,ITGB5,MAPK1,MEF2C,NR2C2,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SMAD2,TGFB1	
CLEAR Signaling Pathway	5.97E00	9.12E-02	-0.816	ATF4,ATP6V0E1,BMP6,CTNS,CTSA,EGF,FGF2,GSK3B,IGF1R,ITPR1,ITPR2,LAMTOR1,MAPK1,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKCA,PRKCB,PSAP,SEC13,STK4,TGFB1,TPP1,VPS35,YWHAH	
CCR3 Signaling in Eosinophils	5.94E00	1.25E-01	-2.646	CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,MYLK,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1,ROCK2	
Class I MHC mediated antigen processing and presentation	5.91E00	8.14E-02	-1.257	ANAPC5,BTBD1,BTBD6,CD36,FBXL20,FBXW11,FBXW5,HERC2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSPA5,ITGB5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,RBBP6,SEC13,SEC61G,UBA7,UBE3B,VAMP8,WWP1,ZBTB16	
Autophagy	5.83E00	1E-01	-0.447	ATF4,BIRC6,BMP6,CALM3,EGF,ERN1,FGF2,GSK3B,IRS1,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,RAF1,RGS19,SNAP29,TGFB1,VAMP8	
L1CAM interactions	5.81E00	1.29E-01	-4.000	ACTB,ACTG1,AP2M1,DLG4,DNM1,DNM3,ITGA2,ITGA2B,ITGB1,ITGB3,MAPK1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
Corticotropin Releasing Hormone Signaling	5.78E00	1.16E-01	-3.742	ADCY3,ATF4,BRAF,CALM3,GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MEF2C,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Intra-Golgi and retrograde Golgi-to-ER traffic	5.77E00	1.03E-01	-4.146	ARF1,ARF3,BICD2,CUX1,DYNLL2,GALNT2,KIF3C,MAN1A1,MAN2A1,MAN2A2,NBAS,RAB1B,RAB30,RAB6B,SNAP29,TGOLN2,TUBA1C,TUBA4A,TUBA8,TUBB1,YKT6	
Metabolism of polyamines	5.76E00	1.86E-01	1.508	OAZ1,ODC1,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SMOX	
Regulation of Actin-based Motility by Rho	5.74E00	1.35E-01	-1.897	ACTB,ARHGDIA,ARPC1B,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MYL9,MYLK,PI4KA,PIP5K1C,RHOBTB1,WIPF1	
Sperm Motility	5.74E00	9.34E-02	-3.464	CALM3,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,IGF1R,ITPR1,ITPR2,JAK1,PDE2A,PDE4D,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,YES1	
IL-1 Signaling	5.69E00	1.43E-01	-2.449	ADCY3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,IRAK2,MAPK1,PRKAR1B,PRKAR2B,TAB2	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	5.69E00	1.67E-01	-3.464	ACTB,ACTG1,MYH9,MYO1C,MYO5A,PRKAB2,RAB8A,TUBA1C,TUBA4A,TUBA8,TUBB1,YWHAH	
Gαs Signaling	5.67E00	1.26E-01	-2.828	ADCY3,ATF4,BRAF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,MAPK1,PRKAR1B,PRKAR2B,PTGIR,SRC	
Integrin cell surface interactions	5.67E00	1.53E-01	-3.606	CD47,COL6A3,F11R,ICAM2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,PECAM1,THBS1,VWF	
Endoplasmic Reticulum Stress Pathway	5.67E00	3.33E-01	-0.378	ATF4,CASP3,ERN1,HSP90B1,HSPA5,MAP3K5,XBP1	
Protein folding	5.64E00	1.41E-01	-3.207	ACTB,ARFGEF2,FBXW5,GNAQ,GNB5,KIFC3,PFDN2,RGS6,RGS9,SPHK1,TUBA1C,TUBA4A,TUBA8,TUBB1	
IL-8 Signaling	5.63E00	1.01E-01	-3.500	BRAF,CCND3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,IRAK2,ITGB3,MAPK1,MPO,MYL9,PIK3CB,PLD3,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2,SRC	
Androgen Signaling	5.62E00	1.09E-01	-2.121	CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,H3-3A,ITPR1,ITPR2,MAPK1,NCOA2,POLR2E,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,TAF3	
BAG2 Signaling Pathway	5.61E00	1.51E-01	-0.447	CASP3,CDKN1A,HSPA5,MAPK1,MAPKAPK2,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Hedgehog 'on' state	5.59E00	1.18E-01	-0.243	ARRB1,NEK4,PI4KA,PIK3CB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SPHK1,STK24,STK38,STK4,STK40	
Leukocyte Extravasation Signaling	5.53E00	1.03E-01	-3.638	ACTB,ACTG1,ACTN1,ARHGAP5,CLDN5,CRKL,CTTN,F11R,ITGA2,ITGB1,MAPK1,PECAM1,PIK3CB,PRKCA,PRKCB,ROCK2,SRC,VAV3,VCL,WIPF1	
Dopamine-DARPP32 Feedback in cAMP Signaling	5.51E00	1.07E-01	-3.606	ADCY3,ATF4,ATP2A2,ATP2A3,CALM3,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PAWR,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
Inhibition of ARE-Mediated mRNA Degradation Pathway	5.5E00	1.11E-01	-0.333	AGO2,MAPK1,MAPKAPK2,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,TNFSF10,YWHAH	
Gαi Signaling	5.47E00	1.16E-01	-1.000	ADCY3,CCR4,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,MAPK1,PRKAR1B,PRKAR2B,RAF1,RGS10,SRC,TBXA2R	
Neuregulin Signaling	5.41E00	1.27E-01	-2.646	CRKL,DLG4,EGF,HSP90B1,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PRKCA,PRKCB,RAF1,SRC	
P2Y Purinergic Receptor Signaling Pathway	5.36E00	1.19E-01	-3.162	ADCY3,ATF4,GNAQ,GNB5,GUCY1A1,GUCY1B1,ITGA2B,ITGB3,MAPK1,P2RY1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Circadian Rhythm Signaling	5.36E00	8.89E-02	NaN	ADCY3,ATF4,BHLHE40,BRAF,FYN,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A,ITPR1,ITPR2,MAPK1,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC,TRPC6,YES1	
Thrombin signalling through proteinase activated receptors (PARs)	5.34E00	2.5E-01	-2.828	ARRB1,F2R,F2RL3,GNA13,GNAQ,GNB5,MAPK1,SRC	
RHO GTPases activate IQGAPs	5.34E00	2.5E-01	-2.828	ACTB,ACTG1,CLIP1,IQGAP2,TUBA1C,TUBA4A,TUBA8,TUBB1	
Calcium Signaling	5.31E00	9.63E-02	-3.464	ATF4,ATP2A2,ATP2A3,ATP2C1,CALM3,CHRNA2,HDAC5,ITPR1,ITPR2,MAPK1,MEF2C,MICU1,MYH9,MYL9,PRKAR1B,PRKAR2B,SLC8A3,TNNC2,TPM1,TPM4,TRPC6	
Phagosome Formation	5.3E00	6.37E-02	-6.332	ADGRE1,ARPC1B,CCR4,CD36,CLIP1,CRKL,DIAPH1,F2R,F2RL3,FYN,GPR137,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,ITPR1,ITPR2,LPAR5,MAPK1,MYH9,MYL9,MYLK,OXTR,P2RY1,PI4KA,PIK3CB,PIP5K1C,PLA2G12A,PLD3,PRDX6,PRKCA,PRKCB,PTGIR,RAF1,ROCK2,SPHK1,SRC,TBXA2R,TLN1,TLN2,VAV3,WIPF1,YES1	
Cellular Effects of Sildenafil (Viagra)	5.28E00	6.42E-02	0.309	ACTB,ACTG1,ADCY3,ADGRE1,ATF4,ATP2A2,ATP2A3,CALM3,CAPN1,CAPN2,CAPNS1,CASP3,CCR4,F2R,F2RL3,GNAQ,GNB5,GPR137,GUCY1A1,GUCY1B1,HSP90B1,LPAR5,MAP3K5,MAPK1,MEF2C,MYH9,MYL9,MYLK,OXTR,P2RY1,PDE5A,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,PTGIR,SLC9A1,SMAD2,TBXA2R,TGFB1,TRPC6	
Gαq Signaling	5.24E00	1.07E-01	-3.464	CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,ITPR1,ITPR2,MAPK1,PIK3CB,PLD3,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2	
Nuclear Cytoskeleton Signaling Pathway	5.21E00	9.5E-02	-3.578	ACTB,ACTG1,DYNLL2,FHOD1,FYN,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,KIF3C,LMNA,SEC13,SRC,TMX4,TUBA1C,TUBA4A,TUBA8,TUBB1,YES1	
Germ Cell-Sertoli Cell Junction Signaling	5.17E00	1.05E-01	NaN	ACTB,ACTG1,ACTN1,ILK,ITGA2,ITGA6,ITGB1,MAP3K5,MAPK1,PIK3CB,RHOBTB1,SRC,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
Phagosome Maturation	5.17E00	1.05E-01	NaN	ATP6V0E1,CTSA,CTSG,DYNLL2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,MPO,PRDX6,STX1A,TUBA1C,TUBA4A,TUBA8,TUBB1,VPS37B,YKT6	
cAMP-mediated signaling	5.15E00	9.13E-02	-1.886	ADCY3,ATF4,BRAF,CALM3,CCR4,GNAO1,GNAS,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PDE4D,PDE5A,PKIA,PKIG,PRKAR1B,PRKAR2B,PTGIR,RAF1,RGS10,SRC,TBXA2R	
Signaling by NTRK1 (TRKA)	5.13E00	1.48E-01	-3.464	AP2M1,BRAF,CRKL,DNM1,DNM3,IRS1,KIDINS220,MAPK1,MAPKAPK2,MEF2C,PIK3CB,SRC	
Hepatic Fibrosis Signaling Pathway	5.12E00	7.45E-02	-3.272	ATF4,BRAF,CALM3,CASP3,FGF2,GSK3B,IRAK2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,JAK1,KLF9,LEPR,MAPK1,MYL9,MYLK,PDGFA,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2,SERPINE1,SMAD2,TGFB1	
Relaxin Signaling	5.12E00	1.09E-01	-2.828	ADCY3,BRAF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PDE4D,PDE5A,PIK3CB,PRKAR1B,PRKAR2B	
Role of Tissue Factor in Cancer	5.07E00	9.62E-02	-3.130	ARRB1,BRAF,CASP3,EGF,F2R,FYN,GNA13,GNAQ,ITGA6,ITGB1,ITGB3,MAPK1,PIK3CB,PPP2R2D,PPP2R5A,PRKCA,RAF1,SRC,TGFB1,YES1	
Interferon gamma signaling	4.97E00	1.33E-01	-1.387	GBP1,GBP5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-H,JAK1,MAPK1,MT2A,RAF1,TRIM14	
ROBO SLIT Signaling Pathway	4.97E00	1.17E-01	0.258	APP,ARF1,ARF3,ARPC1B,CASP3,CDKN1A,FYN,GSK3B,MYL9,NCK2,PRKAR1B,PRKAR2B,SRC,TGFB1,YES1	
GP6 Signaling Pathway	4.97E00	1.17E-01	-2.309	ADAM10,CALM3,COL6A3,FYN,GP6,GRAP2,GSK3B,ITGA2B,ITGB3,ITPR1,PIK3CB,PRKCA,PRKCB,TLN1,VAV3	
Endocannabinoid Developing Neuron Pathway	4.97E00	1.17E-01	-1.667	ADCY3,ATF4,BRAF,GNAO1,GNB5,GSK3B,GUCY1A1,GUCY1B1,MAPK1,MGLL,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SRC	
C-type lectin receptors (CLRs)	4.92E00	1.1E-01	0.000	FBXW11,FYN,ICAM2,ITPR1,ITPR2,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,RAF1,SRC,TAB2	
G Beta Gamma Signaling	4.89E00	1.15E-01	-3.464	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC	
G-Protein Coupled Receptor Signaling	4.85E00	6.17E-02	-4.012	ADCY3,ADGRE1,ARRB1,ATF4,BRAF,CALM3,CCR4,F2R,F2RL3,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GRK5,GSK3B,GUCY1A1,GUCY1B1,LATS2,LPAR5,MAP3K5,MAPK1,MEF2C,MYL9,MYLK,OXTR,P2RY1,PDE2A,PDE4D,PDE5A,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,RGS10,ROCK2,SRC,TBXA2R	
HGF Signaling	4.85E00	1.15E-01	-2.530	CDKN1A,CRKL,ELK3,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
Synaptic Long Term Depression	4.84E00	9.6E-02	-3.153	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GUCY1A1,GUCY1B1,IGF1R,ITPR1,ITPR2,MAPK1,PLA2G12A,PPM1L,PPP2R2D,PPP2R5A,PRDX6,PRKCA,PRKCB,RAF1	
Colorectal Cancer Metastasis Signaling	4.84E00	8.49E-02	-2.309	ADCY3,ARRB1,BRAF,CASP3,EGF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,JAK1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RHOBTB1,SMAD2,SRC,TGFB1	
Ephrin B Signaling	4.83E00	1.51E-01	-3.162	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,KALRN,MAPK1,NCK2,ROCK2,VAV3	
Mitotic Metaphase and Anaphase	4.78E00	8.9E-02	-0.218	ANAPC5,CENPT,CHMP2A,CHMP6,CLIP1,DYNLL2,LMNA,PPP2R5A,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1	
Mitotic G2-G2/M phases	4.78E00	9.5E-02	-0.229	CDKN1A,FBXW11,MZT2B,PRKAR2B,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,RAB8A,TUBA1C,TUBA4A,TUBA8,TUBB1,TUBGCP4,WEE1	
PI3K/AKT Signaling	4.78E00	9.5E-02	0.000	CDKN1A,GSK3B,HSP90B1,ILK,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,JAK1,MAP3K5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,YWHAH	
fMLP Signaling in Neutrophils	4.77E00	1.13E-01	-3.000	ARPC1B,CALM3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
GABA Receptor Signaling	4.77E00	1.13E-01	NaN	ABAT,ADCY3,ALDH9A1,AP2M1,DNM1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2	
Mitochondrial Division Signaling Pathway	4.76E00	1.02E-01	-2.183	APP,GNAQ,GSK3B,HTT,INF2,ITPR1,ITPR2,MAPK1,MLKL,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,ROCK2,SPIRE1	
PAK Signaling	4.74E00	1.19E-01	-2.530	CASP3,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL9,MYLK,NCK2,PDGFA,PIK3CB,RAF1	
WNT/SHH Axonal Guidance Signaling Pathway	4.7E00	1.06E-01	-1.807	ADCY3,FYN,GSK3B,GUCY1A1,GUCY1B1,ILK,ITPR1,ITPR2,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,SRC,TRPC6,YES1,YWHAH	
Synaptogenesis Signaling Pathway	4.68E00	7.91E-02	-3.710	ADCY3,AP2M1,ARPC1B,ATF4,BRAF,CALM3,CRKL,DLG4,FYN,GSK3B,GUCY1A1,GUCY1B1,ITPR1,KALRN,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SRC,STX1A,THBS1,TLN1,YES1,YKT6	
Protein Ubiquitination Pathway	4.64E00	8.24E-02	-0.447	AMFR,ANAPC5,BIRC6,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSP90B1,HSPA5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,UBE3B,USP10,USP22,USP31,USP34	
Gap junction trafficking and regulation	4.62E00	1.76E-01	-3.000	ACTB,ACTG1,AP2M1,DNM1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
RAC Signaling	4.61E00	1.09E-01	-3.317	ABI2,ARPC1B,ELK4,IQGAP2,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PI4KA,PIK3CB,PIP5K1C,RAF1	
MAPK6/MAPK4 signaling	4.56E00	1.3E-01	-1.000	AGO2,CCND3,CDC14B,KALRN,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Platelet Aggregation (Plug Formation)	4.53E00	3.85E-01	-2.236	GP1BA,GP5,GP9,MPL,VWF	
HER-2 Signaling in Breast Cancer	4.52E00	8.81E-02	-2.524	ARF1,ARF3,BRAF,CASP3,CDKN1A,EGF,ELK3,FYN,GSK3B,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1,SEC13,SRC,YES1	
Integration of energy metabolism	4.51E00	1.2E-01	-3.464	ADCY3,AGPAT1,CD36,GNAQ,GNAS,GNB5,ITPR1,ITPR2,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,STX1A	
Glutaminergic Receptor Signaling Pathway (Enhanced)	4.46E00	7.67E-02	-4.379	ADCY3,ATF4,CALM3,DGKD,DGKG,GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,STX1A,TGFB1,YKT6	
GNRH Signaling	4.45E00	9.33E-02	-3.606	ADCY3,ATF4,CALM3,GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAP3K5,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC	
Neutrophil Extracellular Trap Signaling Pathway	4.44E00	7.09E-02	-2.353	CASP2,CASP3,COL6A3,CTSG,ELANE,FYN,GP1BA,ITGA2,ITGB1,ITPR1,ITPR2,MAPK1,MLKL,MPO,ORAI1,ORAI2,PIK3CB,PLA2G12A,PPIF,PRDX6,PRKCA,PRKCB,PRTN3,RAF1,SELP,SRC,STIM1,TSPO,YES1	
Cyclophilin Signaling Pathway	4.43E00	8.43E-02	-2.400	APP,ATF4,BRAF,CASP3,CD36,CD47,CTNNBL1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JAK1,MAP3K5,MAPK1,PIK3CB,PPIB,PPIF,RAF1,ROCK2,TSPO	
Transcriptional regulation by RUNX3	4.37E00	1.25E-01	-2.000	CDKN1A,MAML3,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SRC,TGFB1	
Glioma Signaling	4.34E00	1.09E-01	-2.828	CALM3,CCND3,CDKN1A,CDKN2D,EGF,HDAC5,IDH1,IGF1R,MAPK1,PDGFA,PIK3CB,PRKCA,PRKCB,RAF1	
DAP12 interactions	4.34E00	1.86E-01	-2.121	CD300E,FYN,GRAP2,HLA-B,HLA-C,HLA-E,PIK3CB,VAV3	
VEGF Signaling	4.33E00	1.24E-01	-1.508	ACTB,ACTG1,ACTN1,EIF2B1,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1,ROCK2,SRC,VCL	
EGF Signaling	4.28E00	1.61E-01	-3.000	EGF,ITPR1,ITPR2,JAK1,MAPK1,PIK3CB,PRKCA,RAF1,SRC	
FAT10 Signaling Pathway	4.28E00	1.61E-01	NaN	HTT,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Costimulation by the CD28 family	4.23E00	1.07E-01	-3.742	CD28,FYN,GRAP2,NEK4,PI4KA,PIK3CB,PPP2R5A,SPHK1,SRC,STK24,STK38,STK4,STK40,YES1	
Activation of NMDA receptors and postsynaptic events	4.2E00	1.29E-01	-3.317	DLG4,MAPK1,NRGN,PRKAB2,PRKAR1B,PRKAR2B,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
S Phase	4.2E00	1.2E-01	1.155	CDKN1A,GSK3B,MAX,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,WEE1	
Apelin Cardiomyocyte Signaling Pathway	4.2E00	1.2E-01	-2.887	ATP2A2,ATP2A3,ITPR1,MAPK1,MYL9,MYLK,PIK3CB,PRKCA,PRKCB,SLC8A3,SLC9A1,TGFB1	
Mitotic G1 phase and G1/S transition	4.19E00	1.06E-01	1.732	CCND3,CDKN1A,CDKN2D,MAX,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SRC,WEE1	
ID1 Signaling Pathway	4.19E00	8.91E-02	-2.357	APP,BHLHE40,BRAF,CDKN1A,CHRNA2,EGF,FGF2,FYN,GSK3B,IGF1R,MAPK1,PIK3CB,PLAC8,RAF1,SMAD2,SRC,TGFB1,YES1	
Adrenomedullin signaling pathway	4.19E00	8.91E-02	-3.207	ADCY3,BRAF,CALM3,CASP3,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MAX,MYLK,PIK3CB,PRKAR1B,PRKAR2B,RAF1	
Sleep NREM Signaling Pathway	4.18E00	1.12E-01	2.887	ADCY3,ATF4,BRAF,GNAS,GUCY1A1,GUCY1B1,HDAC5,MAPK1,PRKAR1B,PRKAR2B,PRKCA,RAF1,YWHAH	
PTEN Regulation	4.15E00	1E-01	3.357	AGO2,ATN1,CHD3,GATAD2A,HDAC5,LAMTOR1,MAPK1,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Cyclins and Cell Cycle Regulation	4.15E00	1.28E-01	2.121	CCND3,CDKN1A,CDKN2D,GSK3B,HDAC5,PPM1L,PPP2R2D,PPP2R5A,RAF1,TGFB1,WEE1	
Cerebral Malformation Signaling Pathway	4.14E00	1.11E-01	-1.732	BMP6,CDKN1A,CTTN,ITGB1,MAPK1,MEF2C,MYL9,PIK3CB,ROCK2,STK24,STRN4,THBS1,UNC13B	
Regulation of RUNX2 expression and activity	4.13E00	1.39E-01	1.897	GSK3B,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,WWP1	
Senescence Pathway	4.12E00	7.64E-02	-4.243	ANAPC5,BHLHE40,BRAF,CALM3,CAPN1,CAPN2,CAPNS1,CCND3,CDKN1A,ELK3,HIPK2,ITPR2,MAPK1,MAPKAPK2,PDK2,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,SERPINE1,SMAD2,TGFB1	
Gα12/13 Signaling	4.12E00	1.04E-01	-3.742	F2R,F2RL3,GNA13,LPAR5,MAP3K5,MAPK1,MEF2C,MYL9,PIK3CB,RAF1,ROCK2,SRC,TBXA2R,VAV3	
PTEN Signaling	4.12E00	9.93E-02	1.508	CASP3,CDKN1A,GSK3B,IGF1R,ILK,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,RAF1,YWHAH	
NAFLD Signaling Pathway	4.1E00	8.48E-02	-0.943	ATF4,ATP2A2,CASP3,CD36,CPT1A,ERN1,GSK3B,IRS1,JAK1,LPIN1,MAP3K5,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,TGFB1,TNFSF10,XBP1	
Signaling by the B Cell Receptor (BCR)	4.07E00	9.41E-02	0.258	FBXW11,FYN,ITPR1,ITPR2,ORAI1,ORAI2,PRKCB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,STIM1	
