© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Gαs Signaling	4.38E00	1.27E-01	-2.333	ATF4,BRAF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,HCK,MAPK1,PRKAR1B,PRKAR2B,PTGIR,SRC	
CXCR4 Signaling	4.37E00	1.13E-01	-3.464	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MYL6,MYL9,PIK3CB,PRKCA,PRKCB,RAF1,RHOBTB1,SRC	
Apelin Endothelial Signaling Pathway	4.32E00	1.21E-01	-2.887	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,HDAC5,MAPK1,MEF2C,PIK3CB,PRKAB2,PRKCA,PRKCB,RAF1	
Class I MHC mediated antigen processing and presentation	4.32E00	8.53E-02	-1.414	ANAPC5,BTBD1,BTBD6,CD36,FBXL20,FBXW11,FBXW5,HERC2,HERC5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKG,MRC1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,RBBP6,SEC13,TRIM21,UBA7,UBE2E3,UBE3B,VAMP8,WWP1,ZBTB16	
Cardiac Hypertrophy Signaling	4.3E00	9.58E-02	-3.300	CALM1 (includes others),EIF2B1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,IGF1R,MAP3K5,MAPK1,MAPKAPK2,MEF2C,MYL6,MYL9,PIK3CB,PRKAR1B,PRKAR2B,RAF1,RHOBTB1,RPS6KA1,TGFB1	
Signaling by the B Cell Receptor (BCR)	4.29E00	1.12E-01	0.243	CALM1 (includes others),FBXW11,FYN,IKBKG,ITPR1,ITPR2,ORAI1,ORAI2,PIK3AP1,PRKCB,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,PTPN6,STIM1	
Gαq Signaling	4.29E00	1.12E-01	-3.207	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,IKBKE,IKBKG,ITPR1,ITPR2,MAPK1,PIK3CB,PLD3,PRKCA,PRKCB,RAF1,RHOBTB1	
Apoptosis Signaling	4.18E00	1.35E-01	-1.604	BIRC6,CAPN1,CAPN11,CAPN2,CAPNS1,CASP2,IKBKE,IKBKG,LMNA,MAP3K5,MAPK1,PRKCA,RAF1,RPS6KA1	
Calcium Signaling	4.13E00	1E-01	-3.606	ATF4,ATP2A2,ATP2A3,ATP2C1,CALM1 (includes others),CHRNA2,HDAC5,ITPR1,ITPR2,MAPK1,MEF2C,MICU1,MYH9,MYL6,MYL9,PRKAR1B,PRKAR2B,SLC8A3,TNNC2,TPM1,TPM4,TRPC6	
Endocannabinoid Cancer Inhibition Pathway	4.09E00	1.16E-01	-0.775	ATF4,CASP2,CCND3,CDKN1A,GNA13,GNAO1,GNAQ,GSK3B,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,RAF1,SRC	
Signaling by NTRK1 (TRKA)	4.08E00	1.48E-01	-2.887	AP2B1,AP2M1,BRAF,CRKL,DNM1,KIDINS220,MAPK1,MAPKAPK2,MEF2C,PIK3CB,RPS6KA1,SRC	
CCR3 Signaling in Eosinophils	4.05E00	1.19E-01	-2.646	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,MYLK,PIK3CB,PLA2G12A,PRKCA,PRKCB,RAF1	
Role of NFAT in Cardiac Hypertrophy	4.02E00	9.82E-02	-3.771	CALM1 (includes others),GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,HDAC5,IGF1R,ITPR1,ITPR2,MAPK1,MEF2C,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SLC8A3,SRC,TGFB1	
Platelet Aggregation (Plug Formation)	4.01E00	3.85E-01	-2.236	GP1BA,GP5,GP9,MPL,VWF	
Metabolism of polyamines	3.99E00	1.69E-01	1.265	OAZ1,ODC1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SMOX	
Corticotropin Releasing Hormone Signaling	3.91E00	1.12E-01	-3.742	ATF4,BRAF,CALM1 (includes others),GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MEF2C,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Reelin Signaling in Neurons	3.9E00	1.16E-01	-3.000	APP,ARHGEF12,ARPC1B,CRKL,FYN,GSK3B,HCK,ITGB1,LRP8,MAPK1,PDK1,PDK2,PDK3,PIK3CB,SRC,YES1	
Integrin cell surface interactions	3.87E00	1.41E-01	-3.464	COL10A1,COL6A3,F11R,ICAM2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,PECAM1,THBS1,VWF	
Ion channel transport	3.86E00	1.04E-01	-3.441	ATP2A2,ATP2A3,ATP2C1,ATP6AP1,ATP6V0E1,ATP8B2,CALM1 (includes others),CLCN4,FKBP1B,MLKL,OSTM1,RAF1,STOM,TPCN1,TRPC4AP,TRPC6,TSC22D3,TTYH3,WWP1	
Protein folding	3.86E00	1.33E-01	-3.051	ACTB,ARFGEF2,CCT7,FBXW5,GNAQ,GNB5,KIFC3,RGS9,SPHK1,TUBA1C,TUBA4A,TUBA8,TUBB1	
Androgen Signaling	3.83E00	1.07E-01	-2.828	CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,H3-3A/H3-3B,ITPR1,ITPR2,MAPK1,POLR2E,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,TAF3	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3.82E00	1.4E-01	3.464	IFIT2,IFIT3,IL1RN,IRF7,ISG15,ISG20,MX1,OAS1,OAS2,OAS3,PYCARD,STAT2	
Cyclins and Cell Cycle Regulation	3.82E00	1.4E-01	1.667	CCND3,CDKN1A,CDKN2D,E2F1,GSK3B,HDAC5,PPM1L,PPP2R2D,PPP2R5A,RAF1,TGFB1,WEE1	
Apelin Cardiomyocyte Signaling Pathway	3.82E00	1.31E-01	-3.051	ATP2A2,ATP2A3,ITPR1,MAPK1,MYL6,MYL9,MYLK,PIK3CB,PRKCA,PRKCB,SLC8A3,SLC9A1,TGFB1	
Hedgehog 'off' state	3.79E00	1.24E-01	0.905	GNAS,GSK3B,PRKAR1B,PRKAR2B,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TUBA1C,TUBA4A,TUBB1	
Amyloid Processing	3.78E00	1.76E-01	-2.646	APP,CAPN1,CAPN11,CAPN2,CAPNS1,GSK3B,MAPK1,PRKAR1B,PRKAR2B	
ROBO SLIT Signaling Pathway	3.78E00	1.18E-01	0.258	APP,ARF1,ARF3,ARPC1B,CDKN1A,FYN,GSK3B,HCK,MYL9,NCK2,PRKAR1B,PRKAR2B,SRC,TGFB1,YES1	
ID1 Signaling Pathway	3.78E00	9.95E-02	-2.236	APP,BHLHE40,BRAF,CDKN1A,CHRNA2,E2F1,EGF,FGF2,FYN,GSK3B,HCK,IGF1R,MAPK1,PIK3CB,PLAC8,RAF1,SMAD2,SRC,TGFB1,YES1	
Synaptogenesis Signaling Pathway	3.77E00	8.57E-02	-3.800	AP2B1,AP2M1,ARPC1B,ATF4,BRAF,CALM1 (includes others),CRKL,DLG4,FYN,GSK3B,GUCY1A1,GUCY1B1,HCK,ITPR1,KALRN,LRP8,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SRC,STX1A,THBS1,TLN1,YES1,YKT6	
Signaling by CSF1 (M-CSF) in myeloid cells	3.75E00	2.26E-01	-1.890	FYN,GAB3,GRAP2,HCK,PIK3CB,SRC,YES1	
CDK5 Signaling	3.71E00	1.22E-01	-1.667	CAPN1,GNAS,GUCY1A1,GUCY1B1,ITGA6,ITGB1,MAPK1,PPM1L,PPP1R14A,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,RAF1	
G Beta Gamma Signaling	3.71E00	1.16E-01	-3.464	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC	
Circadian Rhythm Signaling	3.7E00	8.96E-02	NaN	ATF4,BHLHE40,BRAF,FYN,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A/H3-3B,HCK,ITPR1,ITPR2,MAPK1,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC,TRPC6,YES1	
Macropinocytosis Signaling	3.69E00	1.45E-01	-2.000	EGF,ITGB1,ITGB3,ITGB5,MRC1,PDGFA,PDGFB,PIK3CB,PRKCA,PRKCB,SRC	
DAP12 interactions	3.66E00	1.9E-01	-2.121	CD300E,FYN,GRAP2,HLA-B,HLA-C,HLA-E,PIK3CB,VAV3	
Signaling by TGF-beta Receptor Complex	3.65E00	1.7E-01	-3.000	F11R,FURIN,ITGB1,ITGB3,ITGB5,LTBP1,LTBP4,SMAD2,TGFB1	
fMLP Signaling in Neutrophils	3.63E00	1.15E-01	-3.162	ARPC1B,CALM1 (includes others),GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
PAK Signaling	3.63E00	1.2E-01	-2.530	ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL6,MYL9,MYLK,NCK2,PDGFA,PDGFB,PIK3CB,RAF1	
HGF Signaling	3.6E00	1.14E-01	-2.333	CDKN1A,CRKL,ELF4,ELK3,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
GABA Receptor Signaling	3.6E00	1.14E-01	NaN	ABAT,ALDH9A1,AP2B1,AP2M1,DNM1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2	
KEAP1-NFE2L2 pathway	3.58E00	1.32E-01	1.732	CDKN1A,DPP3,FBXL17,GSK3B,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TRIM21	
Sperm Motility	3.57E00	8.95E-02	-3.464	CALM1 (includes others),FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,HCK,IGF1R,ITPR1,ITPR2,PDE2A,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,YES1	
Gα12/13 Signaling	3.56E00	1.13E-01	-3.357	F2R,F2RL3,GNA13,IKBKE,IKBKG,MAP3K5,MAPK1,MEF2C,MYL6,MYL9,PIK3CB,RAF1,SRC,TBXA2R,VAV3	
P2Y Purigenic Receptor Signaling Pathway	3.56E00	1.13E-01	-3.162	ATF4,GNAQ,GNB5,GUCY1A1,GUCY1B1,ITGA2B,ITGB3,MAPK1,P2RY1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Acetylcholine Receptor Signaling Pathway	3.53E00	9.79E-02	-3.900	ADAM10,ADAM9,ATF4,CALM1 (includes others),CASP2,CHRNA2,FYN,GNAO1,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
Cardiac Hypertrophy Signaling (Enhanced)	3.52E00	7.2E-02	-4.017	ATP2A2,ATP2A3,CALM1 (includes others),DIAPH1,EIF2B1,FGF2,GNA13,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,HDAC5,IGF1R,IKBKE,IKBKG,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,ITPR1,ITPR2,MAP3K5,MAPK1,MAPKAPK2,MEF2C,PDE2A,PDK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,TGFB1,TNFSF10,TNFSF13B	
Nitric Oxide Signaling in the Cardiovascular System	3.51E00	1.17E-01	-2.138	ATP2A2,ATP2A3,CALM1 (includes others),GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PDE2A,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
WNT/SHH Axonal Guidance Signaling Pathway	3.51E00	1.07E-01	-1.500	FYN,GSK3B,GUCY1A1,GUCY1B1,HCK,ILK,ITPR1,ITPR2,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,SRC,TRPC6,YES1,YWHAH	
Tight Junction Signaling	3.49E00	1E-01	NaN	ACTB,ACTG1,CLDN5,CSTF2,F11R,MYH9,MYL6,MYL9,MYLK,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,STX1A,TGFB1,VCL,YKT6	
Inhibition of Angiogenesis by TSP1	3.49E00	2.06E-01	-2.236	CD36,FYN,GUCY1A1,GUCY1B1,MAPK1,TGFB1,THBS1	
Semaphorin Neuronal Repulsive Signaling Pathway	3.48E00	1.07E-01	-0.258	ARHGEF12,FYN,GSK3B,GUCY1A1,GUCY1B1,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MYL6,MYL9,PIK3CB,PIP5K1C,PRKAR1B,PRKAR2B	
Neutrophil Extracellular Trap Signaling Pathway	3.45E00	7.75E-02	-1.616	CASP2,CCR1,COL10A1,COL6A3,CTSG,ELANE,FYN,GP1BA,HCK,ITGB1,ITPR1,ITPR2,MAPK1,MLKL,MPO,ORAI1,ORAI2,PIK3CB,PLA2G12A,PPIF,PRDX6,PRKCA,PRKCB,PYCARD,RAF1,SDHA,SELP,SRC,STIM1,TSPO,YES1	
Telomerase Signaling	3.44E00	1.2E-01	-0.707	CDKN1A,E2F1,EGF,ELF4,ELK3,HDAC5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,TPP1	
Synaptic Long Term Depression	3.42E00	9.6E-02	-3.153	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GUCY1A1,GUCY1B1,IGF1R,ITPR1,ITPR2,MAPK1,PLA2G12A,PPM1L,PPP2R2D,PPP2R5A,PRDX6,PRKCA,PRKCB,RAF1	
Signaling by PDGF	3.35E00	1.55E-01	-3.000	COL6A3,CRKL,FURIN,NCK2,PDGFA,PDGFB,PIK3CB,SRC,THBS1	
Germ Cell-Sertoli Cell Junction Signaling	3.33E00	1E-01	NaN	ACTB,ACTG1,ACTN1,ILK,ITGA6,ITGB1,MAP3K5,MAPK1,PIK3CB,RHOBTB1,SRC,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
RHO GTPases Activate WASPs and WAVEs	3.33E00	1.94E-01	-2.646	ABI2,ACTB,ACTG1,ARPC1B,MAPK1,NCKIPSD,WIPF1	
Interferon Signaling	3.33E00	1.94E-01	2.646	IFI35,IFIT1,IFIT3,ISG15,MX1,OAS1,STAT2	
PIP3 activates AKT signaling	3.32E00	1.07E-01	-2.840	CD28,CDKN1A,EGF,FGF2,FYN,GSK3B,MAPK1,PDGFA,PDGFB,PIK3AP1,PIK3CB,PIP4K2C,PIP5K1C,PPP2R5A,SRC	
MSP-RON Signaling in Cancer Cells Pathway	3.32E00	1.07E-01	-2.324	ATF4,BRAF,ELF4,ELK3,FLNA,GSK3B,ITGA6,ITGB1,MAPK1,PIK3CB,RAF1,SMAD2,SRC,TRIM24,YWHAH	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.32E00	9.68E-02	-3.357	ATF4,ATP2A2,ATP2A3,CALM1 (includes others),GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PPM1L,PPP1R14A,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
nNOS Signaling in Neurons	3.31E00	1.7E-01	NaN	CALM1 (includes others),CAPN1,CAPN11,CAPN2,CAPNS1,DLG4,PRKCA,PRKCB	
Mitotic Metaphase and Anaphase	3.3E00	8.94E-02	-0.655	ANAPC5,CENPT,CHMP6,CHMP7,CLIP1,DYNLL2,EMD,LMNA,PPP2R5A,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1	
Melanocyte Development and Pigmentation Signaling	3.28E00	1.22E-01	-2.530	ATF4,GNAS,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PTPN6,RAF1,RPS6KA1,SRC	
Coronavirus Pathogenesis Pathway	3.26E00	9.31E-02	-0.728	ADAM9,ATF4,ATP6AP1,CCDC22,E2F1,FURIN,HDAC5,IRF7,MAPK1,MAVS,OAS1,OAS2,OAS3,PYCARD,RN7SL1,SERPINE1,STAT2,TGFB1,TNPO2	
BAG2 Signaling Pathway	3.26E00	1.29E-01	-1.342	CDKN1A,HSPA2,MAPK1,MAPKAPK2,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
14-3-3-mediated Signaling	3.26E00	1.1E-01	-1.667	GSK3B,MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1,RPS6KA1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,YWHAH	
Endocannabinoid Developing Neuron Pathway	3.26E00	1.1E-01	-1.667	ATF4,BRAF,GNAO1,GNB5,GSK3B,GUCY1A1,GUCY1B1,MAPK1,MGLL,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SRC	
Melatonin Signaling	3.26E00	1.39E-01	-2.828	BRAF,CALM1 (includes others),GNAO1,GNAQ,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Ephrin B Signaling	3.26E00	1.39E-01	-3.000	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,KALRN,MAPK1,NCK2,VAV3	
Effects of PIP2 hydrolysis	3.25E00	2.22E-01	-2.449	DGKD,DGKG,ITPR1,ITPR2,MGLL,TRPC6	
VEGF Signaling	3.24E00	1.21E-01	-1.508	ACTB,ACTG1,ACTN1,EIF2B1,MAPK1,PIK3CB,PRKCA,PRKCB,PTPN6,RAF1,SRC,VCL	
Phagosome Formation	3.23E00	6.61E-02	-5.308	ARPC1B,CARD9,CCR1,CD36,CLIP1,CRKL,DIAPH1,F2R,F2RL3,FCGR2A,FYN,GPR137,HCK,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,ITPR1,ITPR2,MAPK1,MRC1,MYH9,MYL6,MYL9,MYLK,OXTR,P2RY1,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PLA2G12A,PLD3,PRDX6,PRKCA,PRKCB,PTGIR,RAF1,SPHK1,SRC,TBXA2R,TLN1,VAV3,WIPF1,YES1	
FGF Signaling	3.22E00	1.28E-01	-3.317	ATF4,CRKL,FGF2,ITPR1,MAP3K5,MAPK1,MAPKAPK2,PIK3CB,PRKCA,PTPN6,RAF1	
Multiple Sclerosis Signaling Pathway	3.22E00	9.01E-02	-2.236	BRAF,CAPN1,CAPN11,CAPN2,CAPNS1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JARID2,MAPK1,MBP,MPO,PARP10,PYCARD,SLC8A3,TGFB1,TNFSF10,TNFSF13B	
S Phase	3.2E00	1.2E-01	0.577	CDKN1A,E2F1,GSK3B,MAX,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,WEE1	
Glutaminergic Receptor Signaling Pathway (Enhanced)	3.2E00	8E-02	-4.315	ATF4,CALM1 (includes others),DGKD,DGKG,GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,IKBKE,IKBKG,ITPR1,ITPR2,MAPK1,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC,STX1A,TGFB1,YKT6	
Interleukin-1 family signaling	3.19E00	1.09E-01	1.069	FBXW11,IKBKG,IL1RN,IRAK2,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,PTPN18,PTPN6,TAB2	
Mitotic G1 phase and G1/S transition	3.13E00	1.07E-01	0.000	CCND3,CDKN1A,CDKN2D,E2F1,MAX,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SRC,WEE1	
Neuregulin Signaling	3.1E00	1.11E-01	-2.646	CRKL,DLG4,EGF,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PRKCA,PRKCB,RAF1,SRC	
Integration of energy metabolism	3.09E00	1.17E-01	-2.828	ADIPOR2,CD36,GNAQ,GNAS,GNB5,ITPR1,ITPR2,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,STX1A	
Tumor Microenvironment Pathway	3.07E00	9.5E-02	-1.698	BRAF,EGF,FGF2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGB3,LEPR,MAPK1,PDGFA,PDGFB,PIK3CB,RAF1,SLC2A3,TGFB1	
Deubiquitination	3.04E00	8.37E-02	0.426	ACTB,ARRB1,BRCC3,DDB2,IFIH1,IKBKG,KDM1B,MAVS,MBD6,OTUB1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SMAD2,TGFB1,USP10,USP22,USP34	
Neddylation	3.04E00	8.54E-02	1.091	ANKRD9,BTBD1,BTBD6,CCDC22,CDKN1A,CISH,COMMD9,DDB2,DPP3,FBXL20,FBXW11,FBXW5,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,PUM2,ZBTB16	
Factors involved in megakaryocyte development and platelet production	3.01E00	1.21E-01	-3.317	ACTB,AK3,DOCK5,EHD1,EHD3,GATA2,MFN2,PRKAR1B,PRKAR2B,SH2B3,WEE1	
PTEN Regulation	3.01E00	1E-01	1.897	AGO2,ATN1,CHD3,GATAD2A,HDAC5,LAMTOR1,MAF1,MAPK1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Cellular Effects of Sildenafil (Viagra)	3.01E00	1E-01	NaN	ACTB,ACTG1,CALM1 (includes others),GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MYH9,MYL6,MYL9,MYLK,PDE2A,PRKAR1B,PRKAR2B	
Natural Killer Cell Signaling	3E00	9.09E-02	-0.943	COL10A1,FCGR2A,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSPA2,ITGB1,MAP3K5,MAPK1,PIK3CB,PTPN6,RAF1,TNFSF10,VAV3,WIPF1	
p38 MAPK Signaling	3E00	1.08E-01	-2.309	ATF4,H3-3A/H3-3B,IL1RN,IRAK2,MAP3K5,MAPKAPK2,MAX,MEF2C,PLA2G12A,RPS6KA1,TAB2,TGFB1,TIFA	
NF-κB Activation by Viruses	2.98E00	1.28E-01	-2.530	IKBKE,IKBKG,ITGA6,ITGB1,ITGB3,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
Estrogen Receptor Signaling	2.98E00	7.33E-02	-3.922	ATF4,CDKN1A,DLG4,EGF,EIF2B1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,IGF1R,LEPR,MAPK1,MED12,MED12L,MYL6,MYL9,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SDHA,SRC	
PTEN Signaling	2.98E00	9.93E-02	1.508	CDKN1A,GSK3B,IGF1R,IKBKE,IKBKG,ILK,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,RAF1,YWHAH	
Oxytocin in Brain Signaling Pathway	2.97E00	9.05E-02	-3.771	ATF4,CALM1 (includes others),GNAO1,GNAQ,GNB5,ITPR1,ITPR2,MAPK1,MEF2C,OXTR,PIK3CB,PLA2G12A,PRDX6,PRKCA,PRKCB,PTGS1,PYCARD,RAF1	
Mitotic G2-G2/M phases	2.97E00	9.05E-02	-0.943	CDKN1A,CEP41,E2F1,FBXW11,PRKAR2B,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TUBA1C,TUBA4A,TUBA8,TUBB1,TUBGCP4,WEE1	
Cell junction organization	2.97E00	1.2E-01	-3.317	ACTB,ACTG1,ACTN1,CD151,CLDN5,F11R,FLNA,ILK,ITGA6,ITGB1,PARVB	
MAPK6/MAPK4 signaling	2.97E00	1.2E-01	-1.000	AGO2,CCND3,CDC14B,KALRN,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Renin-Angiotensin Signaling	2.96E00	1.07E-01	-2.714	GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTPN6,RAF1	
Adrenergic Receptor Signaling Pathway (Enhanced)	2.95E00	9E-02	-3.771	ATP6AP1,ATP6V0E1,COMT,GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SMOX,TGFB1,TNFSF10,TNFSF13B	
PI3K/AKT Signaling	2.95E00	9E-02	0.277	CDKN1A,GSK3B,IKBKE,IKBKG,ILK,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAP3K5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,YWHAH	
RAC Signaling	2.93E00	1.02E-01	-2.530	ABI2,ARPC1B,ELK4,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,RAF1	
Dopamine Receptor Signaling	2.9E00	1.25E-01	NaN	COMT,GUCY1A1,GUCY1B1,PPM1L,PPP1R14A,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,SMOX	
RHO GTPases Activate Formins	2.87E00	1.01E-01	-3.207	ACTB,ACTG1,CENPT,CLIP1,DIAPH1,DYNLL2,ITGB1,PPP2R5A,SEC13,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
Signaling by SCF-KIT	2.84E00	1.63E-01	-1.890	FYN,GRAP2,PRKCA,PTPN6,SH2B3,SRC,YES1	
Gαi Signaling	2.84E00	1E-01	-1.134	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,MAPK1,PRKAR1B,PRKAR2B,RAF1,SRC,TBXA2R	
Mitochondrial Dysfunction	2.84E00	7.56E-02	0.392	APP,ATF4,ATPAF1,CALM1 (includes others),CAPN1,CAPN11,CAPN2,CAPNS1,CYB5R3,GPD2,GPX1,HTT,ITPR1,ITPR2,MAP3K5,MFN2,MGST1,PIK3CB,PPIF,PRDX6,PRKAB2,PRKAR1B,PRKAR2B,SDHA,UCP2,UQCRC1	
Protein Ubiquitination Pathway	2.83E00	8.06E-02	NaN	AMFR,ANAPC5,BIRC6,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSPA2,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,UBE2E3,UBE3B,USP10,USP22,USP31,USP34	
eNOS Signaling	2.83E00	9.62E-02	-2.887	CALM1 (includes others),CHRNA2,GNAQ,GNAS,GUCY1A1,GUCY1B1,HSPA2,ITPR1,ITPR2,PIK3CB,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
Transcriptional regulation by RUNX3	2.82E00	1.15E-01	1.897	CDKN1A,MAML3,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SRC,TGFB1	
