© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Myelination Signaling Pathway	6.91E00	1.07E-01	-4.564	ARHGAP35,ARHGAP5,ARHGAP6,ATF4,BMP6,BRAF,CALM1 (includes others),DAG1,FGF2,FYN,GSK3B,HCK,HDAC5,IDI1,IGF1R,ILK,ITGA6,ITGB1,ITGB3,ITGB5,LAMB2,MAPK1,MBP,PDGFA,PDGFB,PDK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SMAD2,SRC,SREBF2,XAF1,YES1	
ERK/MAPK Signaling	6.85E00	1.26E-01	-2.558	ATF4,BRAF,CRKL,ELF4,ELK3,FYN,H3-3A/H3-3B,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,PLA2G12A,PPM1L,PPP1R14A,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,RPS6KA1,SRC,TLN1,YWHAH	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.79E00	1.81E-01	-3.638	ACTB,ACTG1,ARPC1B,FCGR2A,FYN,HCK,MAPK1,MYO5A,NCK2,PLD3,PRKCA,PRKCB,RAB11B,SRC,TLN1,VAV3,YES1	
Protein Sorting Signaling Pathway	6.74E00	1.35E-01	-3.266	ARF1,ARFGEF2,FYN,GNAQ,GNAS,GUCY1A1,GUCY1B1,HCK,PLD3,PRKAR1B,PRKAR2B,RAB11B,SEC13,SNX12,SNX19,SNX20,SNX29,SNX9,SORT1,SRC,TMED4,TMED8,VPS35,YES1	
Extracellular matrix organization	6.71E00	1.7E-01	-4.243	APP,COL10A1,COL6A3,DAG1,FGF2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,LAMB2,NID1,PDGFA,PDGFB,PTPRS,SERPINE1,SPARC,TGFB1	
Virus Entry via Endocytic Pathways	6.67E00	1.61E-01	NaN	ACTB,ACTG1,AP2B1,AP2M1,DNM1,FLNA,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGB1,ITGB3,ITGB5,PIK3CB,PRKCA,PRKCB,SRC	
Pancreatic Secretion Signaling Pathway	6.67E00	1.17E-01	-5.014	ARHGDIA,ARHGEF12,ATP2A2,ATP2A3,DIAPH1,EGF,GNA13,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LIPA,LIPH,MAPK1,ORAI1,PIK3CB,PPP1R14A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SLC6A6,SLC9A1,SRC,STIM1,STX1A,YKT6	
Huntington's Disease Signaling	6.38E00	1.09E-01	-3.000	ATF4,CAPN1,CAPN11,CAPN2,CAPNS1,CASP2,DLG4,DNM1,EGF,GNAQ,GNB5,HDAC5,HSPA2,HTT,IGF1R,ITPR1,MAPK1,PIK3CB,POLR2E,PRKCA,PRKCB,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SDHA,STX1A,YKT6	
Regulation of Cellular Mechanics by Calpain Protease	6.32E00	1.78E-01	-2.828	ACTN1,CAPN1,CAPN11,CAPN2,CAPNS1,CCND3,EGF,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,SRC,TLN1,VCL	
Ephrin Receptor Signaling	6.27E00	1.24E-01	-4.123	ADAM10,ARPC1B,ATF4,CRKL,EGF,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,KALRN,MAPK1,NCK2,PDGFA,PDGFB,RAF1,SRC,WIPF1	
Dilated Cardiomyopathy Signaling Pathway	6.25E00	1.4E-01	-0.535	ACTB,ACTG1,ATP2A2,DAG1,GNAS,GSK3B,GUCY1A1,GUCY1B1,ILK,ITPR1,ITPR2,LMNA,MAPK1,MYH9,MYL6,MYL9,PDE2A,PRKAR1B,PRKAR2B,TNNC2,TPM1	
Syndecan interactions	6.22E00	3.33E-01	-3.000	ACTN1,FGF2,ITGA6,ITGB1,ITGB3,ITGB5,PRKCA,TGFB1,THBS1	
Autophagy	6.22E00	1.2E-01	-1.000	ATF4,ATG101,ATG9A,BIRC6,BMP6,CALM1 (includes others),E2F1,EGF,ERN1,FGF2,GSK3B,MAP1LC3A,MAPK1,PDGFB,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,RAF1,RGS19,SNAP29,TGFB1,VAMP8	
Smooth Muscle Contraction	6.17E00	2.56E-01	-3.317	CALM1 (includes others),GUCY1A1,GUCY1B1,ITGB5,MYL6,MYL9,MYLK,TLN1,TPM1,TPM4,VCL	
RAF/MAP kinase cascade	6.13E00	1.11E-01	-2.646	ACTB,ACTG1,ARRB1,BRAF,CALM1 (includes others),DLG4,EGF,FGF2,FYN,ITGA2B,ITGB3,MAPK1,PDGFA,PDGFB,PIK3CB,PPP2R5A,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,RAF1,RASA3,SRC,TLN1,VCL,VWF	
Platelet Adhesion to exposed collagen	6.12E00	4.67E-01	-2.646	FYN,GP1BA,GP5,GP6,GP9,ITGB1,VWF	
RHO GTPase cycle	6.07E00	9.11E-02	-4.841	ABI2,ACTB,ACTG1,ACTN1,ARHGAP21,ARHGAP32,ARHGAP35,ARHGAP45,ARHGAP5,ARHGAP6,ARHGDIA,ARHGEF12,ARMCX3,ATP6AP1,BCR,CCT7,CDC42BPA,CDC42BPB,DBN1,DIAPH1,DOCK5,EMD,GNA13,HMOX2,ITGB1,KALRN,KIDINS220,LAMTOR1,MTR,NCK2,RBBP6,RHOBTB1,SRC,STOM,STX5,TPM4,VANGL1,VAV3,WDR11,WIPF1,YKT6	
EPH-Ephrin signaling	6.05E00	1.7E-01	-4.000	ACTB,ACTG1,ADAM10,AP2B1,AP2M1,ARPC1B,DNM1,FYN,KALRN,MYH9,MYL6,MYL9,NCK2,SRC,VAV3,YES1	
Eicosanoid Signaling	6.02E00	1.07E-01	-5.292	ABCC4,ALOX12,ARRB1,ATF4,ATP2A2,ATP2A3,BRAF,GNAO1,GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITGB1,MAPK1,MAPKAPK2,PIK3CB,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,PTGS1,RAF1,RPS6KA1,SRC,TBXA2R,TBXAS1	
Signaling by Rho Family GTPases	5.96E00	1.09E-01	-2.828	ACTB,ACTG1,ARHGEF12,ARPC1B,CLIP1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL6,MYL9,MYLK,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,RAF1,RHOBTB1,SEPTIN2,SLC9A1,WIPF1	
